item_code,item_type,retail_sales,warehouse_sales
107,STR_SUPPLIES,14.69,0
113,STR_SUPPLIES,0.4,0
115,STR_SUPPLIES,5.71,0
117,STR_SUPPLIES,0.08,0
118,STR_SUPPLIES,7.4,0
119,STR_SUPPLIES,9,0
120,STR_SUPPLIES,4,0
123,STR_SUPPLIES,3.89,0
1279,DUNNAGE,0,-12
2,NON-ALCOHOL,542,0
BC,REF,0,-1028
WC,REF,0,-77
107,STR_SUPPLIES,12.51,0
113,STR_SUPPLIES,0.2,0
115,STR_SUPPLIES,5.47,0
115,STR_SUPPLIES,4.74,0
118,STR_SUPPLIES,7.1,0
119,STR_SUPPLIES,8,0
123,STR_SUPPLIES,0.08,0
1279,DUNNAGE,0,-2
2,NON-ALCOHOL,2739,0
4,NON-ALCOHOL,,0
BC,REF,0,-190
WC,REF,0,-34
123,STR_SUPPLIES,0.16,0
2,NON-ALCOHOL,561,0
123,STR_SUPPLIES,0.25,0
117,STR_SUPPLIES,0.04,0
107,STR_SUPPLIES,17.06,0
113,STR_SUPPLIES,0.6,0
118,STR_SUPPLIES,5.1,0
119,STR_SUPPLIES,15,0
1279,DUNNAGE,0,-2
BC,REF,0,-6
WC,REF,0,-26
1279,DUNNAGE,0,-9
BC,REF,0,-58
WC,REF,0,-8
1279,DUNNAGE,0,-1
BC,REF,0,-18
WC,REF,0,-40
1279,DUNNAGE,0,-5
BC,REF,0,-699
WC,REF,0,-5
1279,DUNNAGE,0,-9
BC,REF,0,-502
WC,REF,0,-15
1279,DUNNAGE,0,-6
BC,REF,0,-1308
WC,REF,0,-21
1279,DUNNAGE,0,-5
BC,REF,0,-1755
WC,REF,0,-375
1279,DUNNAGE,0,-8
BC,REF,0,-1644
WC,REF,0,-156
1279,DUNNAGE,0,-11
BC,REF,0,-21
WC,REF,0,-71
1279,DUNNAGE,0,-3
BC,REF,0,-35
WC,REF,0,-81
107,STR_SUPPLIES,9.55,0
113,STR_SUPPLIES,1.9,0
115,STR_SUPPLIES,5.67,0
116,STR_SUPPLIES,0.25,0
117,STR_SUPPLIES,0.28,0
118,STR_SUPPLIES,3.2,0
1279,DUNNAGE,0,-9
BC,REF,0,-1324
WC,REF,0,-10
107,STR_SUPPLIES,4.13,0
113,STR_SUPPLIES,1.3,0
115,STR_SUPPLIES,6.8,0
117,STR_SUPPLIES,0.12,0
118,STR_SUPPLIES,6.7,0
1279,DUNNAGE,0,-6
113,STR_SUPPLIES,0.8,0
BC,REF,0,-164
WC,REF,0,-441
107,STR_SUPPLIES,10.25,0
115,STR_SUPPLIES,6.27,0
117,STR_SUPPLIES,0.08,0
118,STR_SUPPLIES,6,0
1279,DUNNAGE,0,-6
WC,REF,0,-58
BC,REF,0,-461
107,STR_SUPPLIES,7.19,0
113,STR_SUPPLIES,0.6,0
115,STR_SUPPLIES,4.95,0
117,STR_SUPPLIES,0.12,0
118,STR_SUPPLIES,9,0
1279,DUNNAGE,0,-11
WC,REF,0,-12
BC,REF,0,-447
107,STR_SUPPLIES,12.43,0
113,STR_SUPPLIES,0.8,0
115,STR_SUPPLIES,6.95,0
117,STR_SUPPLIES,0.08,0
118,STR_SUPPLIES,11.1,0
1279,DUNNAGE,0,-7
BC,REF,0,-20
WC,REF,0,-39
107,STR_SUPPLIES,15.69,0
113,STR_SUPPLIES,0.5,0
115,STR_SUPPLIES,6.49,0
116,STR_SUPPLIES,0.25,0
117,STR_SUPPLIES,0.12,0
118,STR_SUPPLIES,9.7,0
120,STR_SUPPLIES,6,0
1279,DUNNAGE,0,-8
BC,REF,0,-108
WC,REF,0,298
107,STR_SUPPLIES,17.4,0
113,STR_SUPPLIES,0.9,0
115,STR_SUPPLIES,4.18,0
117,STR_SUPPLIES,0.28,0
118,STR_SUPPLIES,10,0
1279,DUNNAGE,0,-7
BC,REF,0,-133
WC,REF,0,-316
113,STR_SUPPLIES,0.9,0
115,STR_SUPPLIES,2.94,0
117,STR_SUPPLIES,0.12,0
118,STR_SUPPLIES,10.8,0
107,STR_SUPPLIES,12.54,0
113,STR_SUPPLIES,0.6,0
1279,DUNNAGE,0,-6
BC,REF,0,-200
WC,REF,0,-79
113,STR_SUPPLIES,0.8,0
115,STR_SUPPLIES,8.25,0
117,STR_SUPPLIES,0.2,0
118,STR_SUPPLIES,6.9,0
119,STR_SUPPLIES,27,0
107,STR_SUPPLIES,16.05,0
113,STR_SUPPLIES,0.1,0
2,NON-ALCOHOL,793,0
BC,REF,0,-123
WC,REF,0,-275
113,STR_SUPPLIES,0.1,0
2,NON-ALCOHOL,1445,0
WC,REF,0,-70
115,STR_SUPPLIES,4.21,0
107,STR_SUPPLIES,10.27,0
1279,DUNNAGE,0,-4
600,REF,0,-7800
BC,REF,0,-46
WC,REF,0,-64
115,STR_SUPPLIES,5.54,0
118,STR_SUPPLIES,7.4,0
119,STR_SUPPLIES,14,0
107,STR_SUPPLIES,16.63,0
1279,DUNNAGE,0,-1
2,NON-ALCOHOL,854,0
BC,REF,0,-361
WC,REF,0,-73
115,STR_SUPPLIES,7.04,0
117,STR_SUPPLIES,0.16,0
118,STR_SUPPLIES,7.1,0
119,STR_SUPPLIES,21,0
3,NON-ALCOHOL,,0
4,NON-ALCOHOL,,0
118,STR_SUPPLIES,5.2,0
1279,DUNNAGE,0,-9
119,STR_SUPPLIES,2,0
107,STR_SUPPLIES,8.62,0
